{ 08 80 9A 47 C6 40 00 00 00 00 26 10 }, Delta:4.707ms, Position:[18330,16582], Pressure:0, PenButtons:[False False False], Tilt:[38,16], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 AF 47 E1 40 00 00 00 00 26 11 }, Delta:5.306ms, Position:[18351,16609], Pressure:0, PenButtons:[False False False], Tilt:[38,17], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 C5 47 FE 40 00 00 00 00 26 11 }, Delta:2.340ms, Position:[18373,16638], Pressure:0, PenButtons:[False False False], Tilt:[38,17], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 DC 47 1C 41 00 00 00 00 26 11 }, Delta:4.388ms, Position:[18396,16668], Pressure:0, PenButtons:[False False False], Tilt:[38,17], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 F3 47 3A 41 00 00 00 00 26 11 }, Delta:0.776ms, Position:[18419,16698], Pressure:0, PenButtons:[False False False], Tilt:[38,17], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 0B 48 59 41 00 00 00 00 26 12 }, Delta:0.645ms, Position:[18443,16729], Pressure:0, PenButtons:[False False False], Tilt:[38,18], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 23 48 79 41 00 00 00 00 26 12 }, Delta:4.781ms, Position:[18467,16761], Pressure:0, PenButtons:[False False False], Tilt:[38,18], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 3C 48 9A 41 00 00 00 00 26 12 }, Delta:0.401ms, Position:[18492,16794], Pressure:0, PenButtons:[False False False], Tilt:[38,18], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 5D 48 C6 41 00 00 00 00 26 12 }, Delta:5.144ms, Position:[18525,16838], Pressure:0, PenButtons:[False False False], Tilt:[38,18], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 85 48 F9 41 00 00 00 00 26 14 }, Delta:0.193ms, Position:[18565,16889], Pressure:0, PenButtons:[False False False], Tilt:[38,20], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 B2 48 30 42 00 00 00 00 26 14 }, Delta:6.444ms, Position:[18610,16944], Pressure:0, PenButtons:[False False False], Tilt:[38,20], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 E2 48 6A 42 00 00 00 00 27 14 }, Delta:0.116ms, Position:[18658,17002], Pressure:0, PenButtons:[False False False], Tilt:[39,20], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 14 49 A5 42 00 00 00 00 27 14 }, Delta:1.131ms, Position:[18708,17061], Pressure:0, PenButtons:[False False False], Tilt:[39,20], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 49 49 E1 42 00 00 00 00 27 15 }, Delta:4.373ms, Position:[18761,17121], Pressure:0, PenButtons:[False False False], Tilt:[39,21], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 81 49 1E 43 00 00 00 00 27 15 }, Delta:0.664ms, Position:[18817,17182], Pressure:0, PenButtons:[False False False], Tilt:[39,21], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 BB 49 5A 43 00 00 00 00 27 15 }, Delta:0.812ms, Position:[18875,17242], Pressure:0, PenButtons:[False False False], Tilt:[39,21], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 F6 49 94 43 00 00 00 00 27 15 }, Delta:4.776ms, Position:[18934,17300], Pressure:0, PenButtons:[False False False], Tilt:[39,21], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 33 4A CC 43 00 00 00 00 27 17 }, Delta:0.875ms, Position:[18995,17356], Pressure:0, PenButtons:[False False False], Tilt:[39,23], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 71 4A 02 44 00 00 00 00 27 17 }, Delta:5.650ms, Position:[19057,17410], Pressure:0, PenButtons:[False False False], Tilt:[39,23], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 B0 4A 36 44 00 00 00 00 27 17 }, Delta:0.100ms, Position:[19120,17462], Pressure:0, PenButtons:[False False False], Tilt:[39,23], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 EF 4A 68 44 00 00 00 00 27 17 }, Delta:1.714ms, Position:[19183,17512], Pressure:0, PenButtons:[False False False], Tilt:[39,23], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 2E 4B 97 44 00 00 00 00 27 18 }, Delta:3.678ms, Position:[19246,17559], Pressure:0, PenButtons:[False False False], Tilt:[39,24], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 6C 4B C2 44 00 00 00 00 27 18 }, Delta:1.373ms, Position:[19308,17602], Pressure:0, PenButtons:[False False False], Tilt:[39,24], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 A9 4B E8 44 00 00 00 00 26 18 }, Delta:0.884ms, Position:[19369,17640], Pressure:0, PenButtons:[False False False], Tilt:[38,24], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 E5 4B 08 45 00 00 00 00 26 18 }, Delta:4.330ms, Position:[19429,17672], Pressure:0, PenButtons:[False False False], Tilt:[38,24], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 20 4C 23 45 00 00 00 00 26 19 }, Delta:0.575ms, Position:[19488,17699], Pressure:0, PenButtons:[False False False], Tilt:[38,25], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 5A 4C 39 45 00 00 00 00 26 19 }, Delta:4.788ms, Position:[19546,17721], Pressure:0, PenButtons:[False False False], Tilt:[38,25], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 92 4C 49 45 00 00 00 00 24 19 }, Delta:0.407ms, Position:[19602,17737], Pressure:0, PenButtons:[False False False], Tilt:[36,25], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 C8 4C 54 45 00 00 00 00 24 19 }, Delta:5.191ms, Position:[19656,17748], Pressure:0, PenButtons:[False False False], Tilt:[36,25], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 FD 4C 5A 45 00 00 00 00 24 1A }, Delta:0.166ms, Position:[19709,17754], Pressure:0, PenButtons:[False False False], Tilt:[36,26], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 31 4D 5B 45 00 00 00 00 24 1A }, Delta:2.902ms, Position:[19761,17755], Pressure:0, PenButtons:[False False False], Tilt:[36,26], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 63 4D 57 45 00 00 00 00 24 1A }, Delta:5.253ms, Position:[19811,17751], Pressure:0, PenButtons:[False False False], Tilt:[36,26], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 93 4D 4E 45 00 00 00 00 24 1A }, Delta:0.099ms, Position:[19859,17742], Pressure:0, PenButtons:[False False False], Tilt:[36,26], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 C2 4D 41 45 00 00 00 00 24 19 }, Delta:3.765ms, Position:[19906,17729], Pressure:0, PenButtons:[False False False], Tilt:[36,25], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 F0 4D 31 45 00 00 00 00 24 19 }, Delta:0.717ms, Position:[19952,17713], Pressure:0, PenButtons:[False False False], Tilt:[36,25], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 1C 4E 1D 45 00 00 00 00 23 19 }, Delta:1.735ms, Position:[19996,17693], Pressure:0, PenButtons:[False False False], Tilt:[35,25], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 47 4E 05 45 00 00 00 00 23 19 }, Delta:3.769ms, Position:[20039,17669], Pressure:0, PenButtons:[False False False], Tilt:[35,25], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 71 4E E9 44 00 00 00 00 23 19 }, Delta:1.951ms, Position:[20081,17641], Pressure:0, PenButtons:[False False False], Tilt:[35,25], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
